"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"100uF";"CPOL-EU153CLV-0605";"153CLV-0605";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C2";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C3";"100uF";"CPOL-EU153CLV-0605";"153CLV-0605";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C4";"100uF";"CPOL-EU153CLV-0605";"153CLV-0605";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C6";"100uF";"CPOL-EU153CLV-0605";"153CLV-0605";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"CN1";"1X4-CLEANBIG";"1X4-CLEANBIG";"1X04-CLEANBIG";"4-pin connector";"";"";"";"";
"CN2";"1X4-CLEANBIG";"1X4-CLEANBIG";"1X04-CLEANBIG";"4-pin connector";"";"";"";"";
"D13";"LED";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";
"EXT_PWR";"";"JP1Q";"JP1";"JUMPER";"";"";"";"";
"J1";"1X2-3.5MM";"1X2-3.5MM";"1X2-3.5MM";"3.5mm Terminal block";"";"";"";"";
"JP1";"";"PINHD-1X8CLEANBIG";"1X08-CLEANBIG";"PIN HEADER";"";"";"";"";
"JP2";"";"M04SCREW";"SCREWTERMINAL-3.5MM-4";"Header 4";"";"";"";"";
"JP3";"";"PINHD-1X8CLEANBIG";"1X08-CLEANBIG";"PIN HEADER";"";"";"";"";
"JP4";"";"PINHD-1X1CB";"1X01-CLEANBIG";"Pin header 1x1 for 0.1" spacing";"";"";"";"";
"JP5";"";"M04SCREW";"SCREWTERMINAL-3.5MM-4";"Header 4";"";"";"";"";
"JP7";"";"M04SCREW";"SCREWTERMINAL-3.5MM-4";"Header 4";"";"";"";"";
"JP8";"";"PINHD-1X8CLEANBIG";"1X08-CLEANBIG";"PIN HEADER";"";"";"";"";
"JP9";"";"PINHD-1X8CLEANBIG";"1X08-CLEANBIG";"PIN HEADER";"";"";"";"";
"JP10";"";"PINHD-1X8CLEANBIG";"1X08-CLEANBIG";"PIN HEADER";"";"";"";"";
"JP11";"";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";"";"";"";
"JP12";"";"PINHD-1X3CB";"1X03-CLEANBIG";"PIN HEADER";"";"";"";"";
"JP13";"";"PINHD-1X3CB";"1X03-CLEANBIG";"PIN HEADER";"";"";"";"";
"JP14";"";"PINHD-1X1CB";"1X01-CLEANBIG";"Pin header 1x1 for 0.1" spacing";"";"";"";"";
"JP15";"";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";
"PWR";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";
"R1";"100k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R2";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R3";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R5";"100k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R6";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R8";"100k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R13";"10";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R18";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R19";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R26";"10";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
