"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"3";"";"1X4-BIG";"1X04-BIG";"A-MOT1, B-MOT1, C-MOT1";"4-pin connector";"";
"2";"";"3PIN-HEADER";"3PIN-HEADER";"SER1, SER2";"PIN HEADER";"";
"2";"";"JP1Q";"JP1";"EXT_PWR, ON_BOARD_PWR";"JUMPER";"";
"6";"";"LEDCHIP-LED0805";"CHIP-LED0805";"A_STP, B_STP, C_STP, PWR, RX_LED, TX_LED";"LED";"";
"3";"";"M04SCREW";"SCREWTERMINAL-3.5MM-4";"A-MOT2, B-MOT2, C-MOT2";"Header 4";"";
"1";"";"PINHD-2X3";"2X03";"JP15";"PIN HEADER";"";
"1";"";"TAC_SWITCHPTH";"TACTILE-PTH";"S2";"Momentary Switch";"";
"2";"10";"R-EU_R0805";"R0805";"R13, R26";"RESISTOR, European symbol";"";
"1";"100k";"R-EU_R0805";"R0805";"R4";"RESISTOR, European symbol";"";
"3";"100nF";"C-EUC0805";"C0805";"C6, C13, C14";"CAPACITOR, European symbol";"";
"3";"100nF";"C-EUC0805K";"C0805K";"C7, C9, C10";"CAPACITOR, European symbol";"";
"3";"100uF";"CPOL-EU153CLV-0605";"153CLV-0605";"C1, C3, C4";"POLARIZED CAPACITOR, European symbol";"";
"3";"10k";"R-EU_R0805";"R0805";"R2, R18, R19";"RESISTOR, European symbol";"";
"1";"10nF";"C-EUC0805K";"C0805K";"C8";"CAPACITOR, European symbol";"";
"1";"10uH";"L-EUPIS2816";"PIS2816";"L1";"INDUCTOR, European symbol";"";
"1";"1K";"4R-NEXBS8V";"EXBS8V";"RN1";"Array Chip Resistor";"";
"2";"1K";"R-EU_R0805";"R0805";"R3, R11";"RESISTOR, European symbol";"";
"1";"1X2-3.5MM";"1X2-3.5MM";"1X2-3.5MM";"J1";"3.5mm Terminal block";"";
"4";"1k";"R-EU_R0805";"R0805";"R1, R5, R6, R8";"RESISTOR, European symbol";"";
"1";"1k 1%";"R-EU_R0805";"R0805";"R10";"RESISTOR, European symbol";"";
"1";"2.1MMJACKTHM";"2.1MMJACKTHM";"PJ-102A";"X1";"2.1mm x 5.5mm THM DC jack with internal switch. Digikey part #PJ-102A, 4UCON part #05537";"";
"2";"220uF";"CPOL-EU153CLV-0807";"153CLV-0807";"C11, C12";"POLARIZED CAPACITOR, European symbol";"";
"1";"3.3nF";"C-EUC0805K";"C0805K";"C5";"CAPACITOR, European symbol";"";
"1";"5.6k 1%";"R-EU_R0805";"R0805";"R9";"RESISTOR, European symbol";"";
"1";"6.8k";"R-EU_R0805";"R0805";"R7";"RESISTOR, European symbol";"";
"3";"74541PW";"74541PW";"TSSOP20";"IC1, IC2, IC3";"Octal BUFFER and LINE DRIVER, 3-state";"";
"3";"A4988BREAKOUT";"A4988BREAKOUT";"A4988BREAKOUT";"U$1, U$6, U$7";"";"";
"1";"ARDUINO_MEGA_SHIELD";"ARDUINO_MEGA_SHIELD";"ARDUINO_MEGA_SHIELD";"U1";"";"";
"1";"LED";"LEDCHIP-LED0805";"CHIP-LED0805";"D13";"LED";"";
"1";"MP2307";"MP2307";"SOIC8";"IC4";"";"";
"3";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"SJ5, SJ6, SJ9";"Solder Jumper";"";
"6";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"SJ1, SJ2, SJ3, SJ4, SJ7, SJ8";"Solder Jumper";"";
"1";"TFT01-2.4";"TFT01-2.4";"TFT01-2.4";"TFT";"";"";
